Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.016844368	20/11/2024	09:57:04	20/11/2024	09:57:05
Assemble run info 	0.017855043	20/11/2024	09:57:05	20/11/2024	09:57:06
Finish run info 	0.016794685	20/11/2024	09:57:06	20/11/2024	09:57:07
Testing fasta files 	0.016805146	20/11/2024	09:57:07	20/11/2024	09:57:08
Testing raw files 	0.03463549	20/11/2024	09:57:08	20/11/2024	09:57:11
Feature detection 	0.5348597	20/11/2024	09:57:11	20/11/2024	09:57:43
Deisotoping 	0.8683756	20/11/2024	09:57:43	20/11/2024	09:58:35
MS/MS preparation 	3.3866196	20/11/2024	09:58:35	20/11/2024	10:01:58
Calculating peak properties 	0.05122946	20/11/2024	10:01:58	20/11/2024	10:02:01
Combining apl files for first search 	0.35032034	20/11/2024	10:02:01	20/11/2024	10:02:22
Preparing searches 	21.680891	20/11/2024	10:02:22	20/11/2024	10:24:03
MS/MS first search 	263.50317	20/11/2024	10:24:03	20/11/2024	14:47:33
Read search results for recalibration 	1.1019362	20/11/2024	14:47:33	20/11/2024	14:48:39
Mass recalibration 	6.839209	20/11/2024	14:48:39	20/11/2024	14:55:30
Calculating masses 	0.11792647	20/11/2024	14:55:30	20/11/2024	14:55:37
MS/MS preparation for main search 	1.769058	20/11/2024	14:55:37	20/11/2024	14:57:23
Combining apl files for main search 	0.33364436	20/11/2024	14:57:23	20/11/2024	14:57:43
MS/MS main search 	608.2958	20/11/2024	14:57:43	21/11/2024	01:06:01
Preparing combined folder  	0.1001828	21/11/2024	01:06:01	21/11/2024	01:06:07
Correcting errors 	0.18354669	21/11/2024	01:06:07	21/11/2024	01:06:18
Reading search engine results 	0.58484465	21/11/2024	01:06:18	21/11/2024	01:06:53
Preparing reverse hits 	0.13354047	21/11/2024	01:06:53	21/11/2024	01:07:01
Finish search engine results 	0.1012333	21/11/2024	01:07:01	21/11/2024	01:07:07
Filter identifications (MS/MS) 	0.11797456	21/11/2024	01:07:07	21/11/2024	01:07:14
Calculating PEP 	4.319596	21/11/2024	01:07:14	21/11/2024	01:11:33
Copying identifications 	0.06788689	21/11/2024	01:11:33	21/11/2024	01:11:37
Applying FDR 	0.31698632	21/11/2024	01:11:37	21/11/2024	01:11:56
Assembling second peptide MS/MS 	0.5849119	21/11/2024	01:11:56	21/11/2024	01:12:31
Combining second peptide files 	0.06683024	21/11/2024	01:12:31	21/11/2024	01:12:35
Second peptide search 	136.08824	21/11/2024	01:12:35	21/11/2024	03:28:41
Reading search engine results (SP) 	0.33467254	21/11/2024	03:28:41	21/11/2024	03:29:01
Finish search engine results (SP) 	0.017840665	21/11/2024	03:29:01	21/11/2024	03:29:02
Filtering identifications (SP) 	0.034519274	21/11/2024	03:29:02	21/11/2024	03:29:04
Applying FDR (SP) 	0.23359898	21/11/2024	03:29:04	21/11/2024	03:29:18
Re-quantification 	0.017828006	21/11/2024	03:29:18	21/11/2024	03:29:19
Reporter quantification 	0.017852364	21/11/2024	03:29:19	21/11/2024	03:29:20
Prepare protein assembly 	0.5171231	21/11/2024	03:29:20	21/11/2024	03:29:51
Assembling proteins 	5.6381364	21/11/2024	03:29:51	21/11/2024	03:35:29
Assembling unidentified peptides 	0.017832192	21/11/2024	03:35:29	21/11/2024	03:35:30
Finish protein assembly 	5.37008	21/11/2024	03:35:30	21/11/2024	03:40:52
Updating identifications 	0.03453739	21/11/2024	03:40:52	21/11/2024	03:40:55
Label-free preparation 	0.016788777	21/11/2024	03:40:55	21/11/2024	03:40:56
Label-free normalization 	0.3003136	21/11/2024	03:40:56	21/11/2024	03:41:14
Label-free quantification 	0.08454282	21/11/2024	03:41:14	21/11/2024	03:41:19
Label-free collect 	11.657653	21/11/2024	03:41:19	21/11/2024	03:52:58
Estimating complexity 	0.03455599	21/11/2024	03:52:58	21/11/2024	03:53:00
Prepare writing tables  	0.033485737	21/11/2024	03:53:00	21/11/2024	03:53:02
Writing tables 	12.4418335	21/11/2024	03:53:02	21/11/2024	04:05:29
Finish writing tables  	0.10020432	21/11/2024	04:05:29	21/11/2024	04:05:35
