Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.01716038	29/11/2024	09:21:37	29/11/2024	09:21:38
Assemble run info 	0.28722444	29/11/2024	09:21:38	29/11/2024	09:21:56
Finish run info 	0.016786106	29/11/2024	09:21:56	29/11/2024	09:21:57
Testing fasta files 	0.016793653	29/11/2024	09:21:57	29/11/2024	09:21:58
Testing raw files 	0.053816494	29/11/2024	09:21:58	29/11/2024	09:22:01
Feature detection 	3.2722735	29/11/2024	09:22:01	29/11/2024	09:25:17
Deisotoping 	5.4734125	29/11/2024	09:25:17	29/11/2024	09:30:46
MS/MS preparation 	4.823165	29/11/2024	09:30:46	29/11/2024	09:35:35
Calculating peak properties 	0.1706217	29/11/2024	09:35:35	29/11/2024	09:35:45
Combining apl files for first search 	1.0506932	29/11/2024	09:35:45	29/11/2024	09:36:48
Preparing searches 	24.097103	29/11/2024	09:36:48	29/11/2024	10:00:54
MS/MS first search 	602.6049	29/11/2024	10:00:54	29/11/2024	20:03:30
Read search results for recalibration 	7.4414845	29/11/2024	20:03:30	29/11/2024	20:10:57
Mass recalibration 	11.610743	29/11/2024	20:10:57	29/11/2024	20:22:34
Calculating masses 	0.3705795	29/11/2024	20:22:34	29/11/2024	20:22:56
MS/MS preparation for main search 	2.988664	29/11/2024	20:22:56	29/11/2024	20:25:55
Combining apl files for main search 	1.034078	29/11/2024	20:25:55	29/11/2024	20:26:57
MS/MS main search 	2662.7546	29/11/2024	20:26:57	01/12/2024	16:49:42
Preparing combined folder  	0.08358812	01/12/2024	16:49:42	01/12/2024	16:49:47
Correcting errors 	1.5342934	01/12/2024	16:49:47	01/12/2024	16:51:20
Reading search engine results 	1.137693	01/12/2024	16:51:20	01/12/2024	16:52:28
Preparing reverse hits 	0.0834933	01/12/2024	16:52:28	01/12/2024	16:52:33
Finish search engine results 	0.253759	01/12/2024	16:52:33	01/12/2024	16:52:48
Filter identifications (MS/MS) 	0.23743519	01/12/2024	16:52:48	01/12/2024	16:53:02
Calculating PEP 	48.862152	01/12/2024	16:53:02	01/12/2024	17:41:54
Copying identifications 	0.15379384	01/12/2024	17:41:54	01/12/2024	17:42:03
Applying FDR 	1.5677027	01/12/2024	17:42:03	01/12/2024	17:43:37
Assembling second peptide MS/MS 	3.1394284	01/12/2024	17:43:37	01/12/2024	17:46:46
Combining second peptide files 	0.31702363	01/12/2024	17:46:46	01/12/2024	17:47:05
Second peptide search 	625.83716	01/12/2024	17:47:05	02/12/2024	04:12:55
Reading search engine results (SP) 	0.7707628	02/12/2024	04:12:55	02/12/2024	04:13:41
Finish search engine results (SP) 	0.0537003	02/12/2024	04:13:41	02/12/2024	04:13:44
Filtering identifications (SP) 	0.08703444	02/12/2024	04:13:44	02/12/2024	04:13:50
Applying FDR (SP) 	8.605133	02/12/2024	04:13:50	02/12/2024	04:22:26
Re-quantification 	0.02040544	02/12/2024	04:22:26	02/12/2024	04:22:27
Reporter quantification 	0.02042371	02/12/2024	04:22:27	02/12/2024	04:22:28
Prepare protein assembly 	0.80059355	02/12/2024	04:22:28	02/12/2024	04:23:16
Assembling proteins 	20.131834	02/12/2024	04:23:16	02/12/2024	04:43:24
Assembling unidentified peptides 	0.020345403	02/12/2024	04:43:24	02/12/2024	04:43:26
Finish protein assembly 	13.42499	02/12/2024	04:43:26	02/12/2024	04:56:51
Updating identifications 	0.03708482	02/12/2024	04:56:51	02/12/2024	04:56:53
Label-free preparation 	0.016783776	02/12/2024	04:56:53	02/12/2024	04:56:54
Label-free normalization 	0.48375684	02/12/2024	04:56:54	02/12/2024	04:57:23
Label-free quantification 	0.12041574	02/12/2024	04:57:23	02/12/2024	04:57:31
Label-free collect 	16.393301	02/12/2024	04:57:31	02/12/2024	05:13:54
Estimating complexity 	0.10377354	02/12/2024	05:13:54	02/12/2024	05:14:00
Prepare writing tables  	0.033468038	02/12/2024	05:14:00	02/12/2024	05:14:02
Writing tables 	18.498182	02/12/2024	05:14:02	02/12/2024	05:32:32
Finish writing tables  	0.51711696	02/12/2024	05:32:32	02/12/2024	05:33:03
