Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.01744742	23/11/2024	01:05:56	23/11/2024	01:05:57
Assemble run info 	0.13461837	23/11/2024	01:05:57	23/11/2024	01:06:05
Finish run info 	0.016809087	23/11/2024	01:06:05	23/11/2024	01:06:06
Testing fasta files 	0.01678689	23/11/2024	01:06:06	23/11/2024	01:06:07
Testing raw files 	0.034528248	23/11/2024	01:06:07	23/11/2024	01:06:09
Feature detection 	0.5682728	23/11/2024	01:06:09	23/11/2024	01:06:43
Deisotoping 	0.9185101	23/11/2024	01:06:43	23/11/2024	01:07:38
MS/MS preparation 	3.4037275	23/11/2024	01:07:38	23/11/2024	01:11:03
Calculating peak properties 	0.05122535	23/11/2024	01:11:03	23/11/2024	01:11:06
Combining apl files for first search 	0.31698096	23/11/2024	01:11:06	23/11/2024	01:11:25
Preparing searches 	36.774822	23/11/2024	01:11:25	23/11/2024	01:48:11
MS/MS first search 	307.0354	23/11/2024	01:48:11	23/11/2024	06:55:13
Read search results for recalibration 	1.1019074	23/11/2024	06:55:13	23/11/2024	06:56:19
Mass recalibration 	6.839168	23/11/2024	06:56:19	23/11/2024	07:03:10
Calculating masses 	0.13467947	23/11/2024	07:03:10	23/11/2024	07:03:18
MS/MS preparation for main search 	1.7857338	23/11/2024	07:03:18	23/11/2024	07:05:05
Combining apl files for main search 	0.33367282	23/11/2024	07:05:05	23/11/2024	07:05:25
MS/MS main search 	1658.1074	23/11/2024	07:05:25	24/11/2024	10:43:32
Preparing combined folder  	0.08348953	24/11/2024	10:43:32	24/11/2024	10:43:37
Correcting errors 	0.21691002	24/11/2024	10:43:37	24/11/2024	10:43:50
Reading search engine results 	0.68483305	24/11/2024	10:43:50	24/11/2024	10:44:31
Preparing reverse hits 	0.050143033	24/11/2024	10:44:31	24/11/2024	10:44:34
Finish search engine results 	0.10162613	24/11/2024	10:44:34	24/11/2024	10:44:40
Filter identifications (MS/MS) 	0.11793062	24/11/2024	10:44:40	24/11/2024	10:44:47
Calculating PEP 	5.6367726	24/11/2024	10:44:47	24/11/2024	10:50:25
Copying identifications 	0.08455546	24/11/2024	10:50:25	24/11/2024	10:50:30
Applying FDR 	0.38369212	24/11/2024	10:50:30	24/11/2024	10:50:53
Assembling second peptide MS/MS 	0.5014066	24/11/2024	10:50:53	24/11/2024	10:51:23
Combining second peptide files 	0.050135832	24/11/2024	10:51:23	24/11/2024	10:51:26
Second peptide search 	403.6711	24/11/2024	10:51:26	24/11/2024	17:35:06
Reading search engine results (SP) 	0.30127037	24/11/2024	17:35:06	24/11/2024	17:35:25
Finish search engine results (SP) 	0.017837161	24/11/2024	17:35:25	24/11/2024	17:35:26
Filtering identifications (SP) 	0.01779576	24/11/2024	17:35:26	24/11/2024	17:35:27
Applying FDR (SP) 	0.30028394	24/11/2024	17:35:27	24/11/2024	17:35:45
Re-quantification 	0.101208225	24/11/2024	17:35:45	24/11/2024	17:35:51
Reporter quantification 	0.01788231	24/11/2024	17:35:51	24/11/2024	17:35:52
Prepare protein assembly 	0.45036295	24/11/2024	17:35:52	24/11/2024	17:36:19
Assembling proteins 	8.656255	24/11/2024	17:36:19	24/11/2024	17:44:58
Assembling unidentified peptides 	0.01781129	24/11/2024	17:44:58	24/11/2024	17:44:59
Finish protein assembly 	6.154094	24/11/2024	17:44:59	24/11/2024	17:51:09
Updating identifications 	0.034519598	24/11/2024	17:51:09	24/11/2024	17:51:11
Label-free preparation 	0.016790885	24/11/2024	17:51:11	24/11/2024	17:51:12
Label-free normalization 	0.31697807	24/11/2024	17:51:12	24/11/2024	17:51:31
Label-free quantification 	0.10120981	24/11/2024	17:51:31	24/11/2024	17:51:37
Label-free collect 	12.223916	24/11/2024	17:51:37	24/11/2024	18:03:50
Estimating complexity 	0.051228307	24/11/2024	18:03:50	24/11/2024	18:03:53
Prepare writing tables  	0.03345128	24/11/2024	18:03:53	24/11/2024	18:03:55
Writing tables 	13.875909	24/11/2024	18:03:55	24/11/2024	18:17:48
Finish writing tables  	0.06682484	24/11/2024	18:17:48	24/11/2024	18:17:52
