file_name,sample_name,cell,genotype,purification,derivitisation,replicate
20201203_GV2132_MC340,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC341,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC342,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC343,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC344,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC345,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC346,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC347,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC348,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC349,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC350,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC351,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC352,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC353,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC354,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC366,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC367,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC368,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC369,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC370,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC371,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC372,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC373,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC374,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC375,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
20201203_GV2132_MC376,JMJD6peptide_HeLaJMJD6KO_derivatised,HeLa,JMJD6KO,JMJD6peptide,yes,1
