Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017182246	21/11/2024	09:02:56	21/11/2024	09:02:57
Assemble run info 	0.11789964	21/11/2024	09:02:57	21/11/2024	09:03:04
Finish run info 	0.016807862	21/11/2024	09:03:04	21/11/2024	09:03:05
Testing fasta files 	0.016784923	21/11/2024	09:03:05	21/11/2024	09:03:06
Testing raw files 	0.03451754	21/11/2024	09:03:06	21/11/2024	09:03:08
Feature detection 	0.5182331	21/11/2024	09:03:08	21/11/2024	09:03:39
Deisotoping 	0.868375	21/11/2024	09:03:39	21/11/2024	09:04:31
MS/MS preparation 	3.1697788	21/11/2024	09:04:31	21/11/2024	09:07:41
Calculating peak properties 	0.05120823	21/11/2024	09:07:41	21/11/2024	09:07:44
Combining apl files for first search 	0.30030793	21/11/2024	09:07:44	21/11/2024	09:08:02
Preparing searches 	29.752111	21/11/2024	09:08:02	21/11/2024	09:37:47
MS/MS first search 	288.29688	21/11/2024	09:37:47	21/11/2024	14:26:05
Read search results for recalibration 	1.0851734	21/11/2024	14:26:05	21/11/2024	14:27:10
Mass recalibration 	6.772348	21/11/2024	14:27:10	21/11/2024	14:33:57
Calculating masses 	0.11794288	21/11/2024	14:33:57	21/11/2024	14:34:04
MS/MS preparation for main search 	1.7522074	21/11/2024	14:34:04	21/11/2024	14:35:49
Combining apl files for main search 	0.33363438	21/11/2024	14:35:49	21/11/2024	14:36:09
MS/MS main search 	1281.2065	21/11/2024	14:36:09	22/11/2024	11:57:21
Preparing combined folder  	0.10019463	22/11/2024	11:57:21	22/11/2024	11:57:27
Correcting errors 	0.25031015	22/11/2024	11:57:27	22/11/2024	11:57:42
Reading search engine results 	0.70171654	22/11/2024	11:57:42	22/11/2024	11:58:24
Preparing reverse hits 	0.15022019	22/11/2024	11:58:24	22/11/2024	11:58:33
Finish search engine results 	0.101239346	22/11/2024	11:58:33	22/11/2024	11:58:39
Filter identifications (MS/MS) 	0.11800046	22/11/2024	11:58:39	22/11/2024	11:58:47
Calculating PEP 	5.637316	22/11/2024	11:58:47	22/11/2024	12:04:25
Copying identifications 	0.084597655	22/11/2024	12:04:25	22/11/2024	12:04:30
Applying FDR 	0.36702707	22/11/2024	12:04:30	22/11/2024	12:04:52
Assembling second peptide MS/MS 	0.58489996	22/11/2024	12:04:52	22/11/2024	12:05:27
Combining second peptide files 	0.05014567	22/11/2024	12:05:27	22/11/2024	12:05:30
Second peptide search 	322.89813	22/11/2024	12:05:30	22/11/2024	17:28:24
Reading search engine results (SP) 	0.25141492	22/11/2024	17:28:24	22/11/2024	17:28:39
Finish search engine results (SP) 	0.018078905	22/11/2024	17:28:39	22/11/2024	17:28:40
Filtering identifications (SP) 	0.03452831	22/11/2024	17:28:40	22/11/2024	17:28:42
Applying FDR (SP) 	0.36701772	22/11/2024	17:28:42	22/11/2024	17:29:04
Re-quantification 	0.017863184	22/11/2024	17:29:04	22/11/2024	17:29:05
Reporter quantification 	0.01794698	22/11/2024	17:29:05	22/11/2024	17:29:06
Prepare protein assembly 	0.6171609	22/11/2024	17:29:06	22/11/2024	17:29:43
Assembling proteins 	7.906655	22/11/2024	17:29:43	22/11/2024	17:37:38
Assembling unidentified peptides 	0.017857099	22/11/2024	17:37:38	22/11/2024	17:37:39
Finish protein assembly 	6.2209964	22/11/2024	17:37:39	22/11/2024	17:43:52
Updating identifications 	0.05124369	22/11/2024	17:43:52	22/11/2024	17:43:55
Label-free preparation 	0.01680328	22/11/2024	17:43:55	22/11/2024	17:43:56
Label-free normalization 	0.33367902	22/11/2024	17:43:56	22/11/2024	17:44:16
Label-free quantification 	0.11791514	22/11/2024	17:44:16	22/11/2024	17:44:23
Label-free collect 	13.375974	22/11/2024	17:44:23	22/11/2024	17:57:46
Estimating complexity 	0.05122477	22/11/2024	17:57:46	22/11/2024	17:57:49
Prepare writing tables  	0.033486452	22/11/2024	17:57:49	22/11/2024	17:57:51
Writing tables 	14.094596	22/11/2024	17:57:51	22/11/2024	18:11:57
Finish writing tables  	0.10020042	22/11/2024	18:11:57	22/11/2024	18:12:03
