Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.03346155	10.12.2024	20:18:02	10.12.2024	20:18:04
Assemble run info 	0.11953364	10.12.2024	20:18:04	10.12.2024	20:18:11
Finish run info 	0.016794533	10.12.2024	20:18:11	10.12.2024	20:18:12
Testing fasta files 	0.033459995	10.12.2024	20:18:12	10.12.2024	20:18:14
Testing raw files 	0.036150243	10.12.2024	20:18:14	10.12.2024	20:18:16
Feature detection 	0.8536804	10.12.2024	20:18:16	10.12.2024	20:19:07
Deisotoping 	0.93680066	10.12.2024	20:19:07	10.12.2024	20:20:04
MS/MS preparation 	0.63655907	10.12.2024	20:20:04	10.12.2024	20:20:42
Calculating peak properties 	0.05288241	10.12.2024	20:20:42	10.12.2024	20:20:45
Combining apl files for first search 	0.6171963	10.12.2024	20:20:45	10.12.2024	20:21:22
Preparing searches 	16.244518	10.12.2024	20:21:22	10.12.2024	20:37:37
MS/MS first search 	461.11694	10.12.2024	20:37:37	11.12.2024	04:18:44
Read search results for recalibration 	1.4542959	11.12.2024	04:18:44	11.12.2024	04:20:11
Mass recalibration 	1.3370736	11.12.2024	04:20:11	11.12.2024	04:21:31
Calculating masses 	0.13621928	11.12.2024	04:21:31	11.12.2024	04:21:39
MS/MS preparation for main search 	0.36971322	11.12.2024	04:21:39	11.12.2024	04:22:01
Combining apl files for main search 	0.617114	11.12.2024	04:22:01	11.12.2024	04:22:38
MS/MS main search 	220.64603	11.12.2024	04:22:38	11.12.2024	08:03:17
Preparing combined folder  	0.10018228	11.12.2024	08:03:17	11.12.2024	08:03:23
Correcting errors 	0.4170309	11.12.2024	08:03:23	11.12.2024	08:03:48
Reading search engine results 	1.0867739	11.12.2024	08:03:48	11.12.2024	08:04:53
Preparing reverse hits 	0.16693814	11.12.2024	08:04:53	11.12.2024	08:05:03
Finish search engine results 	0.05310424	11.12.2024	08:05:03	11.12.2024	08:05:07
Filter identifications (MS/MS) 	0.13628744	11.12.2024	08:05:07	11.12.2024	08:05:15
Calculating PEP 	2.2516215	11.12.2024	08:05:15	11.12.2024	08:07:30
Copying identifications 	0.036198623	11.12.2024	08:07:30	11.12.2024	08:07:32
Applying FDR 	0.28361553	11.12.2024	08:07:32	11.12.2024	08:07:49
Assembling second peptide MS/MS 	0.41973993	11.12.2024	08:07:49	11.12.2024	08:08:14
Combining second peptide files 	0.16690661	11.12.2024	08:08:14	11.12.2024	08:08:24
Second peptide search 	377.3894	11.12.2024	08:08:24	11.12.2024	14:25:48
Reading search engine results (SP) 	0.46977285	11.12.2024	14:25:48	11.12.2024	14:26:16
Finish search engine results (SP) 	0.019461613	11.12.2024	14:26:16	11.12.2024	14:26:17
Filtering identifications (SP) 	0.036152404	11.12.2024	14:26:17	11.12.2024	14:26:19
Applying FDR (SP) 	0.40036073	11.12.2024	14:26:19	11.12.2024	14:26:43
Re-quantification 	0.019499833	11.12.2024	14:26:43	11.12.2024	14:26:44
Reporter quantification 	0.019911459	11.12.2024	14:26:44	11.12.2024	14:26:46
Prepare protein assembly 	0.43368822	11.12.2024	14:26:46	11.12.2024	14:27:12
Assembling proteins 	1.9707743	11.12.2024	14:27:12	11.12.2024	14:29:10
Assembling unidentified peptides 	0.01951269	11.12.2024	14:29:10	11.12.2024	14:29:11
Finish protein assembly 	1.451052	11.12.2024	14:29:11	11.12.2024	14:30:38
Updating identifications 	0.019753598	11.12.2024	14:30:38	11.12.2024	14:30:39
Estimating complexity 	0.036183733	11.12.2024	14:30:39	11.12.2024	14:30:41
Prepare writing tables  	0.03346356	11.12.2024	14:30:41	11.12.2024	14:30:43
Writing tables 	0.95350593	11.12.2024	14:30:43	11.12.2024	14:31:41
Finish writing tables  	0.116867185	11.12.2024	14:31:41	11.12.2024	14:31:48
