Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017173043	13/12/2024	08:45:03	13/12/2024	08:45:04
Assemble run info 	0.27053046	13/12/2024	08:45:04	13/12/2024	08:45:20
Finish run info 	0.016775673	13/12/2024	08:45:20	13/12/2024	08:45:21
Testing fasta files 	0.016786596	13/12/2024	08:45:21	13/12/2024	08:45:22
Testing raw files 	0.054047983	13/12/2024	08:45:22	13/12/2024	08:45:26
Feature detection 	3.5392911	13/12/2024	08:45:26	13/12/2024	08:48:58
Deisotoping 	5.590385	13/12/2024	08:48:58	13/12/2024	08:54:33
MS/MS preparation 	4.7066903	13/12/2024	08:54:33	13/12/2024	08:59:16
Calculating peak properties 	0.20378798	13/12/2024	08:59:16	13/12/2024	08:59:28
Combining apl files for first search 	1.1008627	13/12/2024	08:59:28	13/12/2024	09:00:34
Preparing searches 	21.179146	13/12/2024	09:00:34	13/12/2024	09:21:45
MS/MS first search 	543.902	13/12/2024	09:21:45	13/12/2024	18:25:39
Read search results for recalibration 	7.542816	13/12/2024	18:25:39	13/12/2024	18:33:11
Mass recalibration 	11.577126	13/12/2024	18:33:11	13/12/2024	18:44:46
Calculating masses 	0.3705197	13/12/2024	18:44:46	13/12/2024	18:45:08
MS/MS preparation for main search 	3.0219376	13/12/2024	18:45:08	13/12/2024	18:48:10
Combining apl files for main search 	1.0841	13/12/2024	18:48:10	13/12/2024	18:49:15
MS/MS main search 	1252.8801	13/12/2024	18:49:15	14/12/2024	15:42:07
Preparing combined folder  	0.08356156	14/12/2024	15:42:07	14/12/2024	15:42:12
Correcting errors 	1.1174526	14/12/2024	15:42:12	14/12/2024	15:43:20
Reading search engine results 	1.1042737	14/12/2024	15:43:20	14/12/2024	15:44:26
Preparing reverse hits 	0.16685127	14/12/2024	15:44:26	14/12/2024	15:44:36
Finish search engine results 	0.23720227	14/12/2024	15:44:36	14/12/2024	15:44:50
Filter identifications (MS/MS) 	0.2542675	14/12/2024	15:44:50	14/12/2024	15:45:05
Calculating PEP 	28.68414	14/12/2024	15:45:05	14/12/2024	16:13:46
Copying identifications 	0.15380098	14/12/2024	16:13:46	14/12/2024	16:13:56
Applying FDR 	1.5843564	14/12/2024	16:13:56	14/12/2024	16:15:31
Assembling second peptide MS/MS 	3.2055802	14/12/2024	16:15:31	14/12/2024	16:18:43
Combining second peptide files 	0.31698892	14/12/2024	16:18:43	14/12/2024	16:19:02
Second peptide search 	284.26083	14/12/2024	16:19:02	14/12/2024	21:03:18
Reading search engine results (SP) 	0.7207909	14/12/2024	21:03:18	14/12/2024	21:04:01
Finish search engine results (SP) 	0.053888552	14/12/2024	21:04:01	14/12/2024	21:04:04
Filtering identifications (SP) 	0.08709597	14/12/2024	21:04:04	14/12/2024	21:04:09
Applying FDR (SP) 	6.920521	14/12/2024	21:04:09	14/12/2024	21:11:05
Re-quantification 	0.020459136	14/12/2024	21:11:05	14/12/2024	21:11:06
Reporter quantification 	0.10379877	14/12/2024	21:11:06	14/12/2024	21:11:12
Prepare protein assembly 	0.8339125	14/12/2024	21:11:12	14/12/2024	21:12:02
Assembling proteins 	17.530758	14/12/2024	21:12:02	14/12/2024	21:29:34
Assembling unidentified peptides 	0.103775	14/12/2024	21:29:34	14/12/2024	21:29:40
Finish protein assembly 	13.22494	14/12/2024	21:29:40	14/12/2024	21:42:54
Updating identifications 	0.037049077	14/12/2024	21:42:54	14/12/2024	21:42:56
Estimating complexity 	0.087159015	14/12/2024	21:42:56	14/12/2024	21:43:01
Prepare writing tables  	0.033463545	14/12/2024	21:43:01	14/12/2024	21:43:03
Writing tables 	18.198435	14/12/2024	21:43:03	14/12/2024	22:01:15
Finish writing tables  	0.6504782	14/12/2024	22:01:15	14/12/2024	22:01:54
