file_name,sample_name,cell,genotype,purification,derivitisation,replicate
HBR9426A15RW2-40-562221_MC15,BRD4_HeLaWT_NT,HeLa,WT,BRD4IP,no,1
HBR9600A4RW2-40-569193_MEC86,BRD3_HeLaWT_NT,HeLa,WT,BRD3IP,no,1
HBR9600A7RW2-40-569188_MEC89,BRD2_HeLaWT_NT,HeLa,WT,BRD2IP,no,1
HBR9426A11RW2-40-562228_MC18,BRD4_HeLaJMJD6KO_NT,HeLa,JMJD6KO,BRD4IP,no,1
HBR9600A1RW2-40-569199_MEC83,BRD3_HeLaJMJD6KO_NT,HeLa,JMJD6KO,BRD3IP,no,1
HBR9600A5RW2-40-569198_MEC87,BRD2_HeLaJMJD6KO_NT,HeLa,JMJD6KO,BRD2IP,no,1
