Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017324533	08/12/2024	20:53:08	08/12/2024	20:53:09
Assemble run info 	0.11794047	08/12/2024	20:53:09	08/12/2024	20:53:16
Finish run info 	0.01680915	08/12/2024	20:53:16	08/12/2024	20:53:17
Testing fasta files 	0.016799176	08/12/2024	20:53:17	08/12/2024	20:53:18
Testing raw files 	0.034532018	08/12/2024	20:53:18	08/12/2024	20:53:21
Feature detection 	0.53490317	08/12/2024	20:53:21	08/12/2024	20:53:53
Deisotoping 	0.8684424	08/12/2024	20:53:53	08/12/2024	20:54:45
MS/MS preparation 	3.3702385	08/12/2024	20:54:45	08/12/2024	20:58:07
Calculating peak properties 	0.067899995	08/12/2024	20:58:07	08/12/2024	20:58:11
Combining apl files for first search 	0.3003514	08/12/2024	20:58:11	08/12/2024	20:58:29
Preparing searches 	17.978365	08/12/2024	20:58:29	08/12/2024	21:16:28
MS/MS first search 	230.30043	08/12/2024	21:16:28	09/12/2024	01:06:46
Read search results for recalibration 	1.1018702	09/12/2024	01:06:46	09/12/2024	01:07:52
Mass recalibration 	7.1229587	09/12/2024	01:07:52	09/12/2024	01:14:59
Calculating masses 	0.11795251	09/12/2024	01:14:59	09/12/2024	01:15:06
MS/MS preparation for main search 	1.7689995	09/12/2024	01:15:06	09/12/2024	01:16:52
Combining apl files for main search 	0.3169739	09/12/2024	01:16:52	09/12/2024	01:17:11
MS/MS main search 	337.00278	09/12/2024	01:17:11	09/12/2024	06:54:12
Preparing combined folder  	0.08350205	09/12/2024	06:54:12	09/12/2024	06:54:17
Correcting errors 	0.35033688	09/12/2024	06:54:17	09/12/2024	06:54:38
Reading search engine results 	0.6850026	09/12/2024	06:54:38	09/12/2024	06:55:19
Preparing reverse hits 	0.11687467	09/12/2024	06:55:19	09/12/2024	06:55:26
Finish search engine results 	0.10120882	09/12/2024	06:55:26	09/12/2024	06:55:32
Filter identifications (MS/MS) 	0.11800595	09/12/2024	06:55:32	09/12/2024	06:55:39
Calculating PEP 	3.5858543	09/12/2024	06:55:39	09/12/2024	06:59:14
Copying identifications 	0.08462336	09/12/2024	06:59:14	09/12/2024	06:59:19
Applying FDR 	0.38374567	09/12/2024	06:59:19	09/12/2024	06:59:42
Assembling second peptide MS/MS 	0.56819683	09/12/2024	06:59:42	09/12/2024	07:00:16
Combining second peptide files 	0.050168715	09/12/2024	07:00:16	09/12/2024	07:00:19
Second peptide search 	82.95431	09/12/2024	07:00:19	09/12/2024	08:23:17
Reading search engine results (SP) 	0.35140395	09/12/2024	08:23:17	09/12/2024	08:23:38
Finish search engine results (SP) 	0.017855095	09/12/2024	08:23:38	09/12/2024	08:23:39
Filtering identifications (SP) 	0.034521498	09/12/2024	08:23:39	09/12/2024	08:23:41
Applying FDR (SP) 	0.28365096	09/12/2024	08:23:41	09/12/2024	08:23:58
Re-quantification 	0.017853014	09/12/2024	08:23:58	09/12/2024	08:23:59
Reporter quantification 	0.017935805	09/12/2024	08:23:59	09/12/2024	08:24:00
Prepare protein assembly 	0.5170939	09/12/2024	08:24:00	09/12/2024	08:24:31
Assembling proteins 	5.471669	09/12/2024	08:24:31	09/12/2024	08:29:59
Assembling unidentified peptides 	0.017860685	09/12/2024	08:29:59	09/12/2024	08:30:00
Finish protein assembly 	5.2870708	09/12/2024	08:30:00	09/12/2024	08:35:18
Updating identifications 	0.034537155	09/12/2024	08:35:18	09/12/2024	08:35:20
Label-free preparation 	0.016794888	09/12/2024	08:35:20	09/12/2024	08:35:21
Label-free normalization 	0.31701425	09/12/2024	08:35:21	09/12/2024	08:35:40
Label-free quantification 	0.101735555	09/12/2024	08:35:40	09/12/2024	08:35:46
Label-free collect 	11.833443	09/12/2024	08:35:46	09/12/2024	08:47:36
Estimating complexity 	0.051227745	09/12/2024	08:47:36	09/12/2024	08:47:39
Prepare writing tables  	0.033476662	09/12/2024	08:47:39	09/12/2024	08:47:41
Writing tables 	12.965526	09/12/2024	08:47:41	09/12/2024	09:00:39
Finish writing tables  	0.1002227	09/12/2024	09:00:39	09/12/2024	09:00:45
