Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017260218	10/12/2024	15:39:19	10/12/2024	15:39:20
Assemble run info 	0.050736733	10/12/2024	15:39:20	10/12/2024	15:39:23
Finish run info 	0.016791862	10/12/2024	15:39:23	10/12/2024	15:39:24
Testing fasta files 	0.0168041	10/12/2024	15:39:24	10/12/2024	15:39:25
Testing raw files 	0.03403134	10/12/2024	15:39:25	10/12/2024	15:39:27
Feature detection 	0.41783804	10/12/2024	15:39:27	10/12/2024	15:39:52
Deisotoping 	0.5010515	10/12/2024	15:39:52	10/12/2024	15:40:22
MS/MS preparation 	0.3843702	10/12/2024	15:40:22	10/12/2024	15:40:45
Calculating peak properties 	0.03406047	10/12/2024	15:40:45	10/12/2024	15:40:47
Combining apl files for first search 	0.05015184	10/12/2024	15:40:47	10/12/2024	15:40:50
Preparing searches 	43.25512	10/12/2024	15:40:50	10/12/2024	16:24:05
MS/MS first search 	82.90953	10/12/2024	16:24:05	10/12/2024	17:47:00
Read search results for recalibration 	0.20087123	10/12/2024	17:47:00	10/12/2024	17:47:12
Mass recalibration 	0.5343629	10/12/2024	17:47:12	10/12/2024	17:47:44
Calculating masses 	0.11749185	10/12/2024	17:47:44	10/12/2024	17:47:51
MS/MS preparation for main search 	0.43429947	10/12/2024	17:47:51	10/12/2024	17:48:17
Combining apl files for main search 	0.05015539	10/12/2024	17:48:17	10/12/2024	17:48:20
MS/MS main search 	298.855	10/12/2024	17:48:20	10/12/2024	22:47:12
Preparing combined folder  	0.10018964	10/12/2024	22:47:12	10/12/2024	22:47:18
Correcting errors 	0.06682643	10/12/2024	22:47:18	10/12/2024	22:47:22
Reading search engine results 	0.41770646	10/12/2024	22:47:22	10/12/2024	22:47:47
Preparing reverse hits 	0.1835742	10/12/2024	22:47:47	10/12/2024	22:47:58
Finish search engine results 	0.034055904	10/12/2024	22:47:58	10/12/2024	22:48:00
Filter identifications (MS/MS) 	0.05077527	10/12/2024	22:48:00	10/12/2024	22:48:03
Calculating PEP 	0.38372386	10/12/2024	22:48:03	10/12/2024	22:48:26
Copying identifications 	0.034074973	10/12/2024	22:48:26	10/12/2024	22:48:28
Applying FDR 	0.05012321	10/12/2024	22:48:28	10/12/2024	22:48:31
Assembling second peptide MS/MS 	0.41770506	10/12/2024	22:48:31	10/12/2024	22:48:56
Combining second peptide files 	0.033456888	10/12/2024	22:48:56	10/12/2024	22:48:58
Second peptide search 	79.39847	10/12/2024	22:48:58	11/12/2024	00:08:22
Reading search engine results (SP) 	0.18411742	11/12/2024	00:08:22	11/12/2024	00:08:33
Finish search engine results (SP) 	0.017382788	11/12/2024	00:08:33	11/12/2024	00:08:34
Filtering identifications (SP) 	0.017357787	11/12/2024	00:08:34	11/12/2024	00:08:35
Applying FDR (SP) 	0.08350998	11/12/2024	00:08:35	11/12/2024	00:08:40
Re-quantification 	0.017353458	11/12/2024	00:08:40	11/12/2024	00:08:41
Reporter quantification 	0.01738111	11/12/2024	00:08:41	11/12/2024	00:08:42
Prepare protein assembly 	0.31702608	11/12/2024	00:08:42	11/12/2024	00:09:01
Assembling proteins 	0.41762924	11/12/2024	00:09:01	11/12/2024	00:09:26
Assembling unidentified peptides 	0.017361155	11/12/2024	00:09:26	11/12/2024	00:09:27
Finish protein assembly 	0.73403037	11/12/2024	00:09:27	11/12/2024	00:10:11
Updating identifications 	0.017472664	11/12/2024	00:10:11	11/12/2024	00:10:12
Label-free preparation 	0.01678293	11/12/2024	00:10:12	11/12/2024	00:10:13
Label-free normalization 	0.033484753	11/12/2024	00:10:13	11/12/2024	00:10:15
Label-free quantification 	0.034025386	11/12/2024	00:10:15	11/12/2024	00:10:17
Label-free collect 	0.033470467	11/12/2024	00:10:17	11/12/2024	00:10:19
Estimating complexity 	0.034047585	11/12/2024	00:10:19	11/12/2024	00:10:21
Prepare writing tables  	0.03347776	11/12/2024	00:10:21	11/12/2024	00:10:23
Writing tables 	0.9014727	11/12/2024	00:10:23	11/12/2024	00:11:17
Finish writing tables  	0.033480167	11/12/2024	00:11:17	11/12/2024	00:11:19
