Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017284164	09/12/2024	22:07:48	09/12/2024	22:07:49
Assemble run info 	0.05073137	09/12/2024	22:07:49	09/12/2024	22:07:52
Finish run info 	0.016789448	09/12/2024	22:07:52	09/12/2024	22:07:53
Testing fasta files 	0.016791156	09/12/2024	22:07:53	09/12/2024	22:07:54
Testing raw files 	0.03405007	09/12/2024	22:07:54	09/12/2024	22:07:56
Feature detection 	0.4176678	09/12/2024	22:07:56	09/12/2024	22:08:21
Deisotoping 	0.50105643	09/12/2024	22:08:21	09/12/2024	22:08:51
MS/MS preparation 	0.38440356	09/12/2024	22:08:51	09/12/2024	22:09:14
Calculating peak properties 	0.034067776	09/12/2024	22:09:14	09/12/2024	22:09:16
Combining apl files for first search 	0.050131954	09/12/2024	22:09:16	09/12/2024	22:09:19
Preparing searches 	13.309782	09/12/2024	22:09:19	09/12/2024	22:22:37
MS/MS first search 	51.916843	09/12/2024	22:22:37	09/12/2024	23:14:32
Read search results for recalibration 	0.20080946	09/12/2024	23:14:32	09/12/2024	23:14:45
Mass recalibration 	0.4844345	09/12/2024	23:14:45	09/12/2024	23:15:14
Calculating masses 	0.117405005	09/12/2024	23:15:14	09/12/2024	23:15:21
MS/MS preparation for main search 	0.4509163	09/12/2024	23:15:21	09/12/2024	23:15:48
Combining apl files for main search 	0.050130043	09/12/2024	23:15:48	09/12/2024	23:15:51
MS/MS main search 	24.312246	09/12/2024	23:15:51	09/12/2024	23:40:09
Preparing combined folder  	0.08350546	09/12/2024	23:40:09	09/12/2024	23:40:14
Correcting errors 	0.066821635	09/12/2024	23:40:14	09/12/2024	23:40:18
Reading search engine results 	0.41762024	09/12/2024	23:40:18	09/12/2024	23:40:44
Preparing reverse hits 	0.13352907	09/12/2024	23:40:44	09/12/2024	23:40:52
Finish search engine results 	0.034059674	09/12/2024	23:40:52	09/12/2024	23:40:54
Filter identifications (MS/MS) 	0.0340656	09/12/2024	23:40:54	09/12/2024	23:40:56
Calculating PEP 	0.3169629	09/12/2024	23:40:56	09/12/2024	23:41:15
Copying identifications 	0.03405219	09/12/2024	23:41:15	09/12/2024	23:41:17
Applying FDR 	0.050137475	09/12/2024	23:41:17	09/12/2024	23:41:20
Assembling second peptide MS/MS 	0.3675524	09/12/2024	23:41:20	09/12/2024	23:41:42
Combining second peptide files 	0.033764184	09/12/2024	23:41:42	09/12/2024	23:41:44
Second peptide search 	16.930418	09/12/2024	23:41:44	09/12/2024	23:58:40
Reading search engine results (SP) 	0.25131172	09/12/2024	23:58:40	09/12/2024	23:58:55
Finish search engine results (SP) 	0.017345019	09/12/2024	23:58:55	09/12/2024	23:58:56
Filtering identifications (SP) 	0.01737398	09/12/2024	23:58:56	09/12/2024	23:58:57
Applying FDR (SP) 	0.083483145	09/12/2024	23:58:57	09/12/2024	23:59:02
Re-quantification 	0.017369324	09/12/2024	23:59:02	09/12/2024	23:59:03
Reporter quantification 	0.017403726	09/12/2024	23:59:03	09/12/2024	23:59:04
Prepare protein assembly 	0.45037553	09/12/2024	23:59:04	09/12/2024	23:59:31
Assembling proteins 	0.38425907	09/12/2024	23:59:31	09/12/2024	23:59:54
Assembling unidentified peptides 	0.017364662	09/12/2024	23:59:54	09/12/2024	23:59:55
Finish protein assembly 	0.73391354	09/12/2024	23:59:55	10/12/2024	00:00:39
Updating identifications 	0.01739513	10/12/2024	00:00:39	10/12/2024	00:00:40
Label-free preparation 	0.016793182	10/12/2024	00:00:40	10/12/2024	00:00:41
Label-free normalization 	0.033476513	10/12/2024	00:00:41	10/12/2024	00:00:43
Label-free quantification 	0.034045212	10/12/2024	00:00:43	10/12/2024	00:00:45
Label-free collect 	0.033462167	10/12/2024	00:00:45	10/12/2024	00:00:47
Estimating complexity 	0.03405945	10/12/2024	00:00:47	10/12/2024	00:00:49
Prepare writing tables  	0.03347913	10/12/2024	00:00:49	10/12/2024	00:00:51
Writing tables 	0.98473346	10/12/2024	00:00:51	10/12/2024	00:01:50
Finish writing tables  	0.033469867	10/12/2024	00:01:50	10/12/2024	00:01:52
