Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017311439	26.11.2024	23:55:20	26.11.2024	23:55:21
Assemble run info 	0.10283379	26.11.2024	23:55:21	26.11.2024	23:55:27
Finish run info 	0.01680556	26.11.2024	23:55:27	26.11.2024	23:55:28
Testing fasta files 	0.03346485	26.11.2024	23:55:28	26.11.2024	23:55:30
Testing raw files 	0.03613483	26.11.2024	23:55:30	26.11.2024	23:55:32
Feature detection 	0.8199327	26.11.2024	23:55:32	26.11.2024	23:56:21
Deisotoping 	0.92005354	26.11.2024	23:56:21	26.11.2024	23:57:16
MS/MS preparation 	0.58646834	26.11.2024	23:57:16	26.11.2024	23:57:52
Calculating peak properties 	0.052844245	26.11.2024	23:57:52	26.11.2024	23:57:55
Combining apl files for first search 	0.6338543	26.11.2024	23:57:55	26.11.2024	23:58:33
Preparing searches 	41.27854	26.11.2024	23:58:33	27.11.2024	00:39:50
MS/MS first search 	693.1299	27.11.2024	00:39:50	27.11.2024	12:12:57
Read search results for recalibration 	1.4871901	27.11.2024	12:12:57	27.11.2024	12:14:27
Mass recalibration 	1.4211498	27.11.2024	12:14:27	27.11.2024	12:15:52
Calculating masses 	0.1361975	27.11.2024	12:15:52	27.11.2024	12:16:00
MS/MS preparation for main search 	0.36971673	27.11.2024	12:16:00	27.11.2024	12:16:22
Combining apl files for main search 	0.60042995	27.11.2024	12:16:22	27.11.2024	12:16:58
MS/MS main search 	2124.8438	27.11.2024	12:16:58	28.11.2024	23:41:49
Preparing combined folder  	0.10016571	28.11.2024	23:41:49	28.11.2024	23:41:55
Correcting errors 	0.25028288	28.11.2024	23:41:55	28.11.2024	23:42:10
Reading search engine results 	1.1701602	28.11.2024	23:42:10	28.11.2024	23:43:20
Preparing reverse hits 	0.10018138	28.11.2024	23:43:20	28.11.2024	23:43:26
Finish search engine results 	0.0528224	28.11.2024	23:43:26	28.11.2024	23:43:29
Filter identifications (MS/MS) 	0.052885447	28.11.2024	23:43:29	28.11.2024	23:43:32
Calculating PEP 	5.186634	28.11.2024	23:43:32	28.11.2024	23:48:44
Copying identifications 	0.036177102	28.11.2024	23:48:44	28.11.2024	23:48:46
Applying FDR 	0.28361988	28.11.2024	23:48:46	28.11.2024	23:49:03
Assembling second peptide MS/MS 	0.45306423	28.11.2024	23:49:03	28.11.2024	23:49:30
Combining second peptide files 	0.1668805	28.11.2024	23:49:30	28.11.2024	23:49:40
Second peptide search 	1400.3138	28.11.2024	23:49:40	29.11.2024	23:09:59
Reading search engine results (SP) 	0.43624604	29.11.2024	23:09:59	29.11.2024	23:10:25
Finish search engine results (SP) 	0.01965895	29.11.2024	23:10:25	29.11.2024	23:10:26
Filtering identifications (SP) 	0.019422716	29.11.2024	23:10:26	29.11.2024	23:10:27
Applying FDR (SP) 	0.36697793	29.11.2024	23:10:27	29.11.2024	23:10:49
Re-quantification 	0.01944453	29.11.2024	23:10:49	29.11.2024	23:10:51
Reporter quantification 	0.019444877	29.11.2024	23:10:51	29.11.2024	23:10:52
Prepare protein assembly 	0.38364196	29.11.2024	23:10:52	29.11.2024	23:11:15
Assembling proteins 	2.5540679	29.11.2024	23:11:15	29.11.2024	23:13:48
Assembling unidentified peptides 	0.019403413	29.11.2024	23:13:48	29.11.2024	23:13:49
Finish protein assembly 	1.617661	29.11.2024	23:13:49	29.11.2024	23:15:26
Updating identifications 	0.019427178	29.11.2024	23:15:26	29.11.2024	23:15:27
Estimating complexity 	0.036103416	29.11.2024	23:15:27	29.11.2024	23:15:30
Prepare writing tables  	0.033453237	29.11.2024	23:15:30	29.11.2024	23:15:32
Writing tables 	1.2035089	29.11.2024	23:15:32	29.11.2024	23:16:44
Finish writing tables  	0.10016949	29.11.2024	23:16:44	29.11.2024	23:16:50
