Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017279137	06/12/2024	15:40:34	06/12/2024	15:40:35
Assemble run info 	0.13457859	06/12/2024	15:40:35	06/12/2024	15:40:43
Finish run info 	0.016795471	06/12/2024	15:40:43	06/12/2024	15:40:44
Testing fasta files 	0.016805284	06/12/2024	15:40:44	06/12/2024	15:40:45
Testing raw files 	0.034539167	06/12/2024	15:40:45	06/12/2024	15:40:47
Feature detection 	0.65163904	06/12/2024	15:40:47	06/12/2024	15:41:26
Deisotoping 	0.9183365	06/12/2024	15:41:26	06/12/2024	15:42:21
MS/MS preparation 	3.9372542	06/12/2024	15:42:21	06/12/2024	15:46:17
Calculating peak properties 	0.05123444	06/12/2024	15:46:17	06/12/2024	15:46:20
Combining apl files for first search 	0.31699556	06/12/2024	15:46:20	06/12/2024	15:46:39
Preparing searches 	26.81788	06/12/2024	15:46:39	06/12/2024	16:13:29
MS/MS first search 	289.8659	06/12/2024	16:13:29	06/12/2024	21:03:20
Read search results for recalibration 	1.1186128	06/12/2024	21:03:20	06/12/2024	21:04:28
Mass recalibration 	7.0060062	06/12/2024	21:04:28	06/12/2024	21:11:28
Calculating masses 	0.2015664	06/12/2024	21:11:28	06/12/2024	21:11:40
MS/MS preparation for main search 	1.7691977	06/12/2024	21:11:40	06/12/2024	21:13:26
Combining apl files for main search 	0.31699562	06/12/2024	21:13:26	06/12/2024	21:13:45
MS/MS main search 	944.44196	06/12/2024	21:13:45	07/12/2024	12:58:12
Preparing combined folder  	0.08350014	07/12/2024	12:58:12	07/12/2024	12:58:17
Correcting errors 	0.3336623	07/12/2024	12:58:17	07/12/2024	12:58:37
Reading search engine results 	0.63489705	07/12/2024	12:58:37	07/12/2024	12:59:15
Preparing reverse hits 	0.15020335	07/12/2024	12:59:15	07/12/2024	12:59:24
Finish search engine results 	0.10123997	07/12/2024	12:59:24	07/12/2024	12:59:30
Filter identifications (MS/MS) 	0.11805461	07/12/2024	12:59:30	07/12/2024	12:59:37
Calculating PEP 	5.7205143	07/12/2024	12:59:37	07/12/2024	13:05:20
Copying identifications 	0.08457868	07/12/2024	13:05:20	07/12/2024	13:05:25
Applying FDR 	0.4337729	07/12/2024	13:05:25	07/12/2024	13:05:51
Assembling second peptide MS/MS 	0.55152243	07/12/2024	13:05:51	07/12/2024	13:06:24
Combining second peptide files 	0.0501617	07/12/2024	13:06:24	07/12/2024	13:06:27
Second peptide search 	223.16832	07/12/2024	13:06:27	07/12/2024	16:49:38
Reading search engine results (SP) 	0.36806986	07/12/2024	16:49:38	07/12/2024	16:50:00
Finish search engine results (SP) 	0.017868923	07/12/2024	16:50:00	07/12/2024	16:50:01
Filtering identifications (SP) 	0.035087615	07/12/2024	16:50:01	07/12/2024	16:50:03
Applying FDR (SP) 	0.30033568	07/12/2024	16:50:03	07/12/2024	16:50:21
Re-quantification 	0.017866123	07/12/2024	16:50:21	07/12/2024	16:50:22
Reporter quantification 	0.017924324	07/12/2024	16:50:22	07/12/2024	16:50:23
Prepare protein assembly 	0.467111	07/12/2024	16:50:23	07/12/2024	16:50:51
Assembling proteins 	6.9556293	07/12/2024	16:50:51	07/12/2024	16:57:48
Assembling unidentified peptides 	0.03455372	07/12/2024	16:57:48	07/12/2024	16:57:50
Finish protein assembly 	6.137469	07/12/2024	16:57:50	07/12/2024	17:03:59
Updating identifications 	0.051267162	07/12/2024	17:03:59	07/12/2024	17:04:02
Label-free preparation 	0.016793502	07/12/2024	17:04:02	07/12/2024	17:04:03
Label-free normalization 	0.33369073	07/12/2024	17:04:03	07/12/2024	17:04:23
Label-free quantification 	0.11791448	07/12/2024	17:04:23	07/12/2024	17:04:30
Label-free collect 	13.192597	07/12/2024	17:04:30	07/12/2024	17:17:41
Estimating complexity 	0.051237248	07/12/2024	17:17:41	07/12/2024	17:17:44
Prepare writing tables  	0.033485796	07/12/2024	17:17:44	07/12/2024	17:17:46
Writing tables 	14.093764	07/12/2024	17:17:46	07/12/2024	17:31:52
Finish writing tables  	0.06683151	07/12/2024	17:31:52	07/12/2024	17:31:56
