Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.017334113	08/12/2024	06:04:58	08/12/2024	06:04:59
Assemble run info 	0.13460931	08/12/2024	06:04:59	08/12/2024	06:05:07
Finish run info 	0.016798263	08/12/2024	06:05:07	08/12/2024	06:05:08
Testing fasta files 	0.01681096	08/12/2024	06:05:08	08/12/2024	06:05:09
Testing raw files 	0.034526225	08/12/2024	06:05:09	08/12/2024	06:05:11
Feature detection 	0.5348817	08/12/2024	06:05:11	08/12/2024	06:05:43
Deisotoping 	0.8850819	08/12/2024	06:05:43	08/12/2024	06:06:36
MS/MS preparation 	3.3535066	08/12/2024	06:06:36	08/12/2024	06:09:57
Calculating peak properties 	0.05121489	08/12/2024	06:09:57	08/12/2024	06:10:00
Combining apl files for first search 	0.30036056	08/12/2024	06:10:00	08/12/2024	06:10:18
Preparing searches 	14.776071	08/12/2024	06:10:18	08/12/2024	06:25:05
MS/MS first search 	182.62045	08/12/2024	06:25:05	08/12/2024	09:27:42
Read search results for recalibration 	1.1184976	08/12/2024	09:27:42	08/12/2024	09:28:49
Mass recalibration 	6.4888763	08/12/2024	09:28:49	08/12/2024	09:35:19
Calculating masses 	0.1179302	08/12/2024	09:35:19	08/12/2024	09:35:26
MS/MS preparation for main search 	1.7856824	08/12/2024	09:35:26	08/12/2024	09:37:13
Combining apl files for main search 	0.3169681	08/12/2024	09:37:13	08/12/2024	09:37:32
MS/MS main search 	172.34648	08/12/2024	09:37:32	08/12/2024	12:29:53
Preparing combined folder  	0.083536245	08/12/2024	12:29:53	08/12/2024	12:29:58
Correcting errors 	0.23358919	08/12/2024	12:29:58	08/12/2024	12:30:12
Reading search engine results 	0.5849052	08/12/2024	12:30:12	08/12/2024	12:30:47
Preparing reverse hits 	0.1335557	08/12/2024	12:30:47	08/12/2024	12:30:55
Finish search engine results 	0.117928766	08/12/2024	12:30:55	08/12/2024	12:31:02
Filter identifications (MS/MS) 	0.11796744	08/12/2024	12:31:02	08/12/2024	12:31:09
Calculating PEP 	3.3523698	08/12/2024	12:31:09	08/12/2024	12:34:30
Copying identifications 	0.08457199	08/12/2024	12:34:30	08/12/2024	12:34:35
Applying FDR 	0.38369218	08/12/2024	12:34:35	08/12/2024	12:34:58
Assembling second peptide MS/MS 	0.6182535	08/12/2024	12:34:58	08/12/2024	12:35:35
Combining second peptide files 	0.05015325	08/12/2024	12:35:35	08/12/2024	12:35:38
Second peptide search 	43.88077	08/12/2024	12:35:38	08/12/2024	13:19:31
Reading search engine results (SP) 	0.3680993	08/12/2024	13:19:31	08/12/2024	13:19:53
Finish search engine results (SP) 	0.017837469	08/12/2024	13:19:53	08/12/2024	13:19:54
Filtering identifications (SP) 	0.034494825	08/12/2024	13:19:54	08/12/2024	13:19:56
Applying FDR (SP) 	0.2502986	08/12/2024	13:19:56	08/12/2024	13:20:11
Re-quantification 	0.017841998	08/12/2024	13:20:11	08/12/2024	13:20:12
Reporter quantification 	0.017924	08/12/2024	13:20:12	08/12/2024	13:20:13
Prepare protein assembly 	0.50044847	08/12/2024	13:20:13	08/12/2024	13:20:43
Assembling proteins 	4.9711337	08/12/2024	13:20:43	08/12/2024	13:25:42
Assembling unidentified peptides 	0.017828146	08/12/2024	13:25:42	08/12/2024	13:25:43
Finish protein assembly 	4.7365355	08/12/2024	13:25:43	08/12/2024	13:30:27
Updating identifications 	0.034553766	08/12/2024	13:30:27	08/12/2024	13:30:29
Label-free preparation 	0.016802311	08/12/2024	13:30:29	08/12/2024	13:30:30
Label-free normalization 	0.28364798	08/12/2024	13:30:30	08/12/2024	13:30:47
Label-free quantification 	0.084540926	08/12/2024	13:30:47	08/12/2024	13:30:52
Label-free collect 	9.956871	08/12/2024	13:30:52	08/12/2024	13:40:50
Estimating complexity 	0.05121037	08/12/2024	13:40:50	08/12/2024	13:40:53
Prepare writing tables  	0.033478923	08/12/2024	13:40:53	08/12/2024	13:40:55
Writing tables 	10.558531	08/12/2024	13:40:55	08/12/2024	13:51:28
Finish writing tables  	0.066823535	08/12/2024	13:51:28	08/12/2024	13:51:32
